Country,Female_Science,Male_Science,Female_sciissues,Male_sciissues,Female_explain,Male_explain,Female_evidence,Male_evidence,Female_interest,Male_interest,Female_support,Male_support
Australia,526.86,526.9,546.02,525.12,513.41,526.75,532.69,529.94,463.47,467.36,485.96,488.17
Austria,507,514.53,516.08,494.51,506.93,525.57,500.31,509.04,504.74,508.4,515.14,514.95
Belgium,509.97,510.72,522.63,508.19,494.36,510.2,520.64,511.8,499.36,505.82,491.77,491.93
Canada,532.42,536.5,538.83,524.96,522.45,539.25,542.09,541.01,467.11,471.4,503.95,497.3
Chile,426.49,448.13,442.55,445.42,413.74,447.75,430.72,447.16,594.75,587.59,560.84,566.67
Czech Republic,510.13,514.95,511.44,492.05,515.65,536.55,499.9,501,498.58,481.93,485.33,484.01
Denmark,491.45,500.39,498.79,487.75,490.85,511.83,487.29,489.87,471.45,454.65,481.6,483.62
Estonia,533.3,529.58,528.21,503.67,537.25,543.7,533.37,528.64,504.5,500.41,498.82,495.17
Finland,564.86,561.76,567.76,541.91,561.56,570.85,570.66,564.16,451.37,444.85,487.36,471
France,493.94,496.58,506.71,491.14,473.93,488.73,512.88,509.06,517.98,522.2,501.03,512.73
Germany,511.96,519.11,517.93,502.1,508.35,529.16,513.33,517.33,511.93,513.52,518.96,517.36
Greece,479.11,467.7,484.52,453.17,475.16,477.77,475.42,455.55,551.59,545.53,540,525.44
Hungary,500.56,507.04,489.36,476.52,506.64,528.63,497.55,496.6,526.34,517.67,517.31,506.21
Iceland,493.91,487.73,508.73,479.16,484.9,491.29,494.73,487.31,467.53,464.4,498.03,484.1
Ireland,508.53,508.13,523.93,507.71,500.88,510.21,509.27,502.51,478.31,484.21,480.69,487.99
Israel,452.19,455.64,462.94,450.97,435.66,451.36,464.02,456.48,505.81,511.96,514.25,508.74
Italy,473.89,476.94,482.52,465.72,471.96,487.23,468.22,465.74,525.3,533.35,513.32,508.2
Japan,529.76,533.01,530.99,513.16,519.24,535.3,545.23,543.45,505.17,518.22,459.84,475.44
Korea,523.09,521.23,530.06,508.39,506.04,517.1,542.32,534.71,479.91,490.97,489.56,500.94
Luxembourg,481.6,490.94,488.5,477.33,470.79,495.38,490.21,493.34,514.38,514.85,520.18,522.93
Mexico,406.45,413.1,424.72,417.72,397.79,415.35,400.66,403.93,614.24,607.45,533.56,538.13
Netherlands,521.2,528.39,538.67,526.68,512.39,530.83,524.28,526.8,445.08,457.77,443.52,449.69
New Zealand,532.2,528.45,546.9,524.85,516.96,527.77,541.46,531.74,458.63,463.96,469.2,471.14
Norway,488.79,484.42,501.29,477.7,492.12,498.09,476.13,469.22,474.9,469.66,488.7,481.57
Poland,496.13,499.51,489.61,476.49,497.71,514.41,495.42,491.97,499.38,501.97,516.15,509.65
Portugal,471.87,476.91,492.78,479.71,461.79,477.46,471.42,473.08,570.91,570.23,534.73,541.28
Slovak Republic,485.23,491.46,485.48,465.04,489.94,511.58,477.67,477.54,516.63,526.38,492.04,501.85
Slovenia,522.7,514.9,530.42,503.6,517.75,527.85,521.91,510.15,498.84,511.06,504.26,499.39
Spain,486.22,490.58,496.18,481.67,481.38,499.04,485.36,484.34,533.37,535.3,526.14,532.29
Sweden,502.68,503.96,506.97,490.67,503.68,515.55,498.6,493.71,461.6,447.05,473.33,468.9
Switzerland,508.66,514.22,520.28,509.88,498.31,516.72,517.48,519.98,501.23,505.77,510.17,510.71
Turkey,430.36,418.43,443.36,414.35,422.72,423.23,426.2,409.75,533.79,545.01,579.21,549.43
United Kingdom,509.79,519.85,517.3,510.16,506.05,527.43,510.45,516.81,462.32,465.19,463.62,476.1
United States,488.63,489.21,499.96,484.4,479.52,492.5,490.93,486.18,469.84,489.07,489.52,491.18
Albania,,,,,,,,,,,,
Argentina,397.28,384.46,407.9,381.29,386.4,386.6,396.05,373.54,571.79,562.07,509.01,503.34
Azerbaijan,386.27,378.71,356.88,348.99,416.8,407.55,347.19,341.58,614.82,608.66,545.39,538.33
Brazil,386.19,395.15,401.54,394.27,381.53,400.32,375.22,381.52,595.88,587.92,517.92,519.98
Bulgaria,442.89,425.87,444.71,411.06,446.97,441.8,430.29,404.07,529.5,516.13,539.37,515.13
Taiwan Province of China,528.72,535.86,511.86,505.69,535.03,554.37,531.91,531.75,524,541.69,538.14,552.47
Colombia,383.89,392.88,404.01,400.7,370.92,388.48,381.05,385.67,652.19,633.39,542.69,548.86
Croatia,494.45,491.96,507.08,479.99,486.74,498.18,493.09,487.6,537.31,533.52,509.79,518.88
United Arab Emirates,,,,,,,,,,,,
ChinaHK,538.91,545.61,535.03,520.37,539,559.79,541.18,543.58,525.13,547.3,518.53,539.5
Indonesia,387.44,399.22,388.8,397.08,385.76,402.96,383.22,387.98,616.07,600.23,526.72,516.04
Jordan,436.28,407.53,424.68,392.85,447.96,427.2,423.84,385.05,616.67,601.58,566.67,543.27
Kazakhstan,,,,,,,,,,,,
Kyrgyz Republic,324.85,318.79,330.47,310.75,332.96,334.72,294.9,280.06,587.97,571.29,512.64,489.21
Latvia,492.96,485.94,503.72,472.66,481.45,491.47,496.8,484.23,504.32,502.92,497.38,489.78
Liechtenstein,527.41,516.05,534.26,508.32,513.36,519.41,543.88,524.36,506.32,501.54,530.99,516.09
Lithuania,492.65,483.43,489.17,463.45,489.92,498.88,495.24,478.15,551.81,537.32,549.25,532.47
Macao-China,508.93,512.7,497.73,482.6,512.92,526.9,511.4,511.7,519.69,527.36,517.51,523.97
Montenegro,412.8,410.84,409.48,393.28,412.14,420.94,410.89,402.64,571.37,551,531.82,526.26
Panama,,,,,,,,,,,,
Peru,,,,,,,,,,,,
Qatar,365.32,333.67,370.92,334.33,370.5,341.75,341.47,306.64,562.42,568.12,534.98,504.66
Romania,419.48,417.28,417.94,400.99,421.03,430.55,411.98,402.96,594.41,588.25,540.01,540.14
Russian Federation,478.12,480.93,472.43,452.58,474.11,493.21,483.07,478.43,544.21,538.15,509.49,506.57
Serbia,438.37,432.98,441.24,420.15,437.9,443.62,430.68,419.25,521.93,523.24,516.98,523.42
Shanghai-China,,,,,,,,,,,,
Singapore,,,,,,,,,,,,
Thailand,428.12,411.42,427.29,394.23,421.15,418.13,433.48,409.17,650.73,630.47,575.39,559.44
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,387.81,382.99,393.58,373.07,380.92,386.02,386.68,376.64,592.96,587.69,537.87,529.98
Uruguay,429.6,426.6,439.13,417.72,417.52,428.63,432.73,425.17,567.68,566.39,504.9,516.29
